Regla(c, k, u, y, c, b, d, u, z, w, a, i, m, i, y, i, h, s, x, t, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, t, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, f, h, t, d, i, d, t, g, g, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, m, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, i, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, h, a, a, w, w, e, y, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, a, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, w, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, j, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, o, m, q, u, e, z, s, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, d, a, z, w, a, i, m, i, y, i, h, s, x, h, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, t, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, f, h, t, d, i, d, t, g, g, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, m, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, i, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, h, a, a, w, w, e, y, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, a, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, w, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, o, m, q, u, e, z, s, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, d, a, z, w, a, i, m, i, y, i, h, s, x, h, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, x, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, r, h, t, d, i, d, t, g, g, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, m, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, i, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, r, a, a, w, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, w, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, o, m, q, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, d, a, z, w, a, i, o, i, y, i, h, s, x, h, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, x, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, n, h, t, d, i, d, t, g, b, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, c, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, g, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, r, a, a, w, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, m, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, q, m, q, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, d, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, d, o, c, d, g, n, k, s, l, r, y, x, g, f, d, t, k, l, w, l, j, q, v, x, q, b, n, z, r, a, u, w, q, h, k, n, h, t, d, i, d, t, g, b, s, b, v, h, a, n, u, q, u, b, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, c, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, g, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, r, a, b, w, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, m, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, d, o, c, d, g, n, k, s, l, r, y, x, g, f, d, t, k, l, w, l, j, q, d, x, q, b, n, z, r, a, u, w, q, h, k, n, h, t, d, i, d, t, g, b, s, b, v, h, a, n, u, q, u, b, o, j, y, i, c, t, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, g, z, j, e, j, z, e, w, r, a, s, f, v, x, x, q, r, a, b, w, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, m, p, a, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, c, o, c, d, g, n, k, s, l, r, y, x, g, f, d, t, k, l, w, l, j, q, d, x, q, b, n, z, r, a, u, w, q, h, k, n, h, t, d, i, d, t, g, b, s, b, v, h, a, n, u, q, u, b, o, j, y, i, c, t, l, g, l, s, u, c, k, u, b, s, o, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, g, z, j, e, j, z, e, w, r, a, s, f, v, x, r, q, r, a, b, b, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, p, a, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, o, c, d, g, n, k, s, l, r, y, x, g, f, d, g, k, l, w, l, j, q, d, x, q, b, n, z, r, a, u, w, q, h, k, n, h, t, y, i, d, t, g, b, s, b, v, h, a, n, u, q, u, b, o, j, y, i, c, t, l, g, l, s, u, c, k, u, b, s, o, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, g, z, j, e, j, z, e, w, r, a, s, f, v, x, r, q, r, a, b, b, w, w, y, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, p, a, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, o, c, d, g, n, k, s, l, r, y, x, g, f, d, g, k, l, w, l, j, q, d, x, q, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, q, u, b, o, j, y, i, c, t, l, g, l, s, u, c, k, u, b, s, o, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, d, v, w, s, r, x, j, v, c, p, w, x, h, g, z, p, e, j, z, e, w, r, a, s, f, v, d, r, q, r, a, b, b, w, w, w, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, p, a, t, s, x, p, m, d, b, z, z, n, h, q, h, w, t, s, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, o, c, d, g, t, k, s, l, r, y, x, g, f, d, g, k, l, w, l, j, q, d, x, q, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, q, u, b, o, j, y, i, c, t, l, g, l, s, u, c, k, u, b, s, o, a, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, d, v, l, s, r, x, j, v, c, p, w, x, h, g, z, p, e, j, z, e, w, r, a, s, f, v, d, r, q, r, a, b, b, w, w, w, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, p, a, t, s, x, p, m, d, b, z, z, n, h, q, h, w, t, s, c, n, q, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, u, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, o, c, d, g, t, k, s, l, r, y, x, g, f, d, g, k, l, w, r, j, q, d, x, e, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, q, u, b, o, j, y, i, c, t, l, g, a, s, u, c, k, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, k, v, l, s, r, x, j, s, c, p, w, x, h, g, z, p, e, j, z, e, w, r, a, s, f, v, d, r, q, r, a, b, u, w, w, w, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, p, a, u, s, x, p, m, d, b, z, z, n, h, q, h, w, t, s, c, n, q, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
